text,money,color,source
Half of the 2016 US Deficit comes out to,293500,"rgba(255, 225, 25, 1)",https://www.wsj.com/articles/u-s-budget-deficit-rose-in-fiscal-year-2016-first-time-in-five-years-1476475245
27 billion hours of labor at minimum wage is,200000,"rgba(235, 235, 0, 1)","http://www.ncsl.org/research/labor-and-employment/state-minimum-wage-chart.aspx"
Hurricane Katrina caused an economic loss of,160000,"rgba(98, 98, 0, 1)",http://www.newsweek.com/hurricane-harvey-could-cost-190-billion-topping-hurricane-katrina-658242
"Paying the salaries of 50,000 teachers for 10 years would cost",29032,"rgba(210, 245, 60,1)","http://time.com/money/4900091/teachers-average-salary-underpaid-poll/" 
The GDP of Haiti in 2016 was,8257,"rgba(177, 177, 0, 1)",https://www.cia.gov/library/publications/the-world-factbook/geos/ha.html
To make the 1997 Titanic movie, it cost ,200,"rgba(88, 88, 167, 1)",http://www.imdb.com/title/tt0120338/?ref_=tttr_tr_tt
20 million hours of labor at minimum wage would cost,145,"rgba(95, 158, 160, 1)","http://www.ncsl.org/research/labor-and-employment/state-minimum-wage-chart.aspx"
Average healthcare costs for 3789 Americans would cost, 35,"rgba(19, 70, 161, 1)",http://www.npr.org/sections/goatsandsoda/2017/04/20/524774195/what-country-spends-the-most-and-least-on-health-care-per-person
10 thousand MacBook Pros,19.99,"rgba(0, 0, 98, 1)",https://www.apple.com/shop/buy-mac/macbook-pro/15-inch
4 years of tuition at Harvard for 100 students,17.31,"rgba(0, 0, 235, 1)","https://www.harvard.edu/about-harvard/harvard-glance"
Average Cost of a 30 Second Ad Spot During Super Bowl,5,"rgba(87, 145, 250, 1)","https://www.si.com/nfl/2017/01/26/super-bowl-commercial-cost-2017"
Median Home Price,0.368100,"rgba(173,216,230,1)",https://www.census.gov/construction/nrs/pdf/uspricemon.pdf
